id,dc-started,man-adding,man-added,dc-registered
450,12:13:29.063,12:13:43.130,12:13:43.191,12:13:43.195
451,12:13:29.334,12:13:43.291,12:13:43.347,12:13:43.351
452,12:13:29.523,12:13:32.071,12:13:42.063,12:13:42.539
453,12:13:29.537,12:13:43.203,12:13:43.273,12:13:43.277
454,12:13:29.592,12:13:43.359,12:13:43.411,12:13:43.414
455,12:13:29.607,12:13:43.054,12:13:43.120,12:13:43.123
456,12:13:30.018,12:13:43.458,12:13:43.479,12:13:43.481
457,12:13:30.033,12:13:42.818,12:13:42.862,12:13:42.865
458,12:13:30.043,12:13:43.424,12:13:43.449,12:13:43.454
459,12:13:30.056,12:13:42.879,12:13:42.950,12:13:42.953
460,12:13:30.067,12:13:42.967,12:13:43.011,12:13:43.014
461,12:13:30.077,12:13:42.731,12:13:42.763,12:13:42.797
462,12:13:30.111,12:13:42.560,12:13:42.636,12:13:42.711
500,12:13:30.469,12:13:45.793,12:13:45.812,12:13:45.814
850,12:13:30.484,12:13:44.512,12:13:44.638,12:13:44.641
463,12:13:30.566,12:13:43.501,12:13:43.556,12:13:43.560
100,12:13:30.601,12:13:45.303,12:13:45.320,12:13:45.371
464,12:13:30.680,12:13:43.582,12:13:43.605,12:13:43.609
465,12:13:30.690,12:13:43.618,12:13:43.661,12:13:43.666
466,12:13:30.709,12:13:43.675,12:13:43.703,12:13:43.705
467,12:13:30.716,12:13:43.712,12:13:43.736,12:13:43.741
468,12:13:30.725,12:13:43.747,12:13:43.855,12:13:43.860
469,12:13:30.733,12:13:43.868,12:13:43.901,12:13:43.903
200,12:13:30.802,12:13:45.975,12:13:46.007,12:13:46.050
600,12:13:30.830,12:13:44.968,12:13:44.986,12:13:45.033
601,12:13:30.861,12:13:45.229,12:13:45.244,12:13:45.247
101,12:13:30.946,12:13:45.330,12:13:45.354,12:13:45.371
400,12:13:30.959,12:13:46.332,12:13:46.349,12:13:46.352
800,12:13:30.960,12:13:47.007,12:13:47.024,12:13:47.026
851,12:13:31.010,12:13:44.492,12:13:44.507,12:13:44.510
501,12:13:31.103,12:13:45.873,12:13:45.895,12:13:45.897
350,12:13:31.177,12:13:46.691,12:13:46.704,12:13:46.706
351,12:13:31.203,12:13:46.782,12:13:46.795,12:13:46.797
201,12:13:31.238,12:13:46.011,12:13:46.025,12:13:46.050
470,12:13:31.249,12:13:43.917,12:13:43.950,12:13:43.952
102,12:13:31.259,12:13:45.456,12:13:45.471,12:13:45.473
401,12:13:31.269,12:13:46.251,12:13:46.264,12:13:46.294
602,12:13:31.270,12:13:45.062,12:13:45.096,12:13:45.099
103,12:13:31.275,12:13:45.438,12:13:45.452,12:13:45.454
650,12:13:31.334,12:13:48.137,12:13:48.201,12:13:48.203
250,12:13:31.344,12:13:49.301,12:13:49.316,12:13:49.318
104,12:13:31.349,12:13:45.569,12:13:45.603,12:13:45.607
300,12:13:31.457,12:13:47.161,12:13:47.185,12:13:47.195
502,12:13:31.472,12:13:45.699,12:13:45.714,12:13:45.759
651,12:13:31.517,12:13:47.999,12:13:48.046,12:13:48.049
471,12:13:31.530,12:13:43.960,12:13:43.990,12:13:43.993
472,12:13:31.541,12:13:43.996,12:13:44.023,12:13:44.025
202,12:13:31.544,12:13:46.071,12:13:46.087,12:13:46.089
473,12:13:31.559,12:13:44.041,12:13:44.071,12:13:44.076
474,12:13:31.566,12:13:44.084,12:13:44.150,12:13:44.153
475,12:13:31.572,12:13:44.179,12:13:44.221,12:13:44.223
203,12:13:31.575,12:13:46.140,12:13:46.181,12:13:46.183
476,12:13:31.581,12:13:44.236,12:13:44.264,12:13:44.267
852,12:13:31.581,12:13:44.401,12:13:44.432,12:13:44.437
477,12:13:31.588,12:13:44.282,12:13:44.309,12:13:44.312
478,12:13:31.598,12:13:44.325,12:13:44.345,12:13:44.347
479,12:13:31.614,12:13:44.350,12:13:44.375,12:13:44.377
853,12:13:31.653,12:13:44.470,12:13:44.487,12:13:44.489
